,FORWARD_AND_TURN_LITTLE_LEFT,FORWARD,FORWARD_AND_TURN_LITTLE_RIGHT,FORWARD_AND_HARD_LEFT,FORWARD_AND_HARD_RIGHT
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,-1.0,-1.0,-1.9,0.0
3,-1.0,-1.0,0.0,-1.0,0.0
4,0.0,-1.0,0.0,0.0,0.0
5,-1.0,0.0,0.0,-4.68559,0.0
6,-1.98,-3.439,-1.9,-1.0,-4.1751000000000005
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
12,-1.0,0.0,-1.0,0.0,-1.9
13,0.0,0.0,0.0,0.0,0.0
14,0.0,0.4462489697990399,0.2639507909672858,0.0,0.9146359655622656
15,0.0,0.15969479096728578,0.5779341105896858,0.15969479096728578,0.746184887091072
16,0.0,0.9227084291200002,0.5975793280000001,2.1864672,0.584253152
17,40.96587578694894,52.87927306031803,41.79905458709584,41.71006714825359,42.373611945126015
18,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.10864000000000001,0.39573790848000007,0.0,0.3243867157504
21,0.0,0.20584000000000002,0.6804225520276234,0.1401851355291648,0.1
22,0.0,0.1,0.8380672935299047,0.0,0.0
23,4.246110750468665,4.694934733599759,4.868491447572945,4.303818174960445,4.374937786350754
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.099
27,0.0,0.0,0.057920000000000006,0.0,0.099
28,0.0,0.0,0.0,0.0,0.05
29,1.186761474851517,1.186866093075203,1.7816983357085077,1.296559689439815,1.9536447212142416
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,-2.71
32,0.0,0.0,0.0,0.0,-1.9
33,0.0,0.0,0.0,0.0,-1.9
34,0.0,0.0,0.0,0.0,-2.71
35,-1.9,-2.71,0.0,-5.6953279000000006,-6.12579511
